abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
pms,paramedian sulcus,54,1,-10.75,1.05,1.05,-1.76,label box,0.5273,0.2784,0.0153,0.0114,,
ppf,prepyramidal fissure,54,0,-10.75,-0.57,0.57,-2.64,label box,0.4434,0.3492,0.0113,0.0148,,
py,pyramidal tract,54,0,-10.75,-0.44,0.44,-8.53,label box,0.4499,0.8256,0.008,0.0114,,
py,pyramidal tract,54,1,-10.75,0.58,0.58,-8.47,label box,0.5026,0.8205,0.0084,0.0119,,
rs,rubrospinal tract,54,0,-10.75,2.37,2.37,-7.26,label box,0.5957,0.7227,0.0062,0.0091,,
rs,rubrospinal tract,54,1,-10.75,-2.16,2.16,-7.35,label box,0.3606,0.7305,0.0062,0.0091,,
sf,secondary fissure,54,0,-10.75,-0.32,0.32,-1.83,label box,0.4563,0.2842,0.0065,0.0119,,
sf,secondary fissure,54,1,-10.75,-0.56,0.56,-3.46,label box,0.4436,0.4157,0.0065,0.0159,,
sol,solitary tract,54,0,-10.75,1.08,1.08,-5.37,leader tip,0.5245,0.5912,0.0098,0.0119,0.5288,0.5702
sol,solitary tract,54,1,-10.75,-0.91,0.91,-5.32,leader tip,0.4268,0.5957,0.0098,0.0119,0.4258,0.5663
sol,solitary tract,54,2,-10.75,-0.53,0.53,-5.46,leader tip,0.4408,0.5974,0.0109,0.0119,0.4454,0.5776
sp5,spinal trigeminal tract,54,0,-10.75,2.96,2.96,-6.42,label box,0.6262,0.6552,0.0131,0.0142,,
sp5,spinal trigeminal tract,54,1,-10.75,-2.66,2.66,-6.46,label box,0.335,0.6583,0.0131,0.0148,,
ts,tectospinal tract,54,0,-10.75,0.24,0.24,-7.31,label box,0.4853,0.727,0.0065,0.0114,,
ts,tectospinal tract,54,1,-10.75,-0.11,0.11,-7.32,label box,0.4672,0.7279,0.0065,0.0108,,
vsc,ventral spinocerebellar tract,54,0,-10.75,1.86,1.86,-7.77,label box,0.5692,0.7639,0.012,0.0085,,
vsc,ventral spinocerebellar tract,54,1,-10.75,-1.85,1.85,-7.7,label box,0.3768,0.7583,0.0123,0.0091,,
10Cb,10th cerebellar lobule (nodule),55,0,-11.1,0.01,0.01,-5.08,label box,0.4735,0.5469,0.0189,0.0119,,
