abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
IntDL,"interposed cerebellar nucleus, dorsolateral hump",47–50,47–50,47,50,4,47 48 49 50,
IntDM,"interposed cerebellar nucleus, dorsomedial crest",48–50,48–50,48,50,3,48 49 50,
IntP,"interposed cerebellar nucleus, posterior part",49–50,49–50,49,50,2,49 50,
IntPPC,"interposed cerebellar nucleus, posterior parvicellular part",49–50,49–50,49,50,2,49 50,
InWh,intermediate white layer of the superior colliculus,33–41,33–41,33,41,9,33 34 35 36 37 38 39 40 41,
IOA,"inferior olive, subnucleus A of medial nucleus",57–58,57–58,57,58,2,57 58,
IOB,"inferior olive, subnucleus B of medial nucleus",56–58,56–58,56,58,3,56 57 58,
IOBe,"inferior olive, beta subnucleus",56–58,56–58,56,58,3,56 57 58,
IOC,"inferior olive, subnucleus C of medial nucleus",56–58,56–58,56,58,3,56 57 58,
IOD,"inferior olive, dorsal nucleus",52–56,52–56,52,56,5,52 53 54 55 56,
IODM,"inferior olive, dorsomedial cell group",52–55,52–55,52,55,4,52 53 54 55,
IOK,"inferior olive, cap of Kooy of the medial nucleus",56–57,56–57,56,57,2,56 57,
IOM,"inferior olive, medial nucleus",52–55,52–55,52,55,4,52 53 54 55,
IOPr,"inferior olive, principal nucleus",52–56,52–56,52,56,5,52 53 54 55 56,
IPAC,interstitial nucleus of the posterior limb of the anterior commissure,22–25,22–25,22,25,4,22 23 24 25,
IPC,"interpeduncular nucleus, caudal subnucleus",37–40,37–40,37,40,4,37 38 39 40,
IPD,"interpeduncular nucleus, dorsal subnucleus",38,38,38,38,1,38,
IPF,interpeduncular fossa,36,36,36,36,1,36,
IPI,"interpeduncular nucleus, intermediate subnucleus",38–39,38–39,38,39,2,38 39,
IPL,"interpeduncular nucleus, lateral subnucleus",37–39,37–39,37,39,3,37 38 39,
IPl,internal plexiform layer of the olfactory bulb,1–10,1–10,1,10,10,1 2 3 4 5 6 7 8 9 10,
IPR,"interpeduncular nucleus, rostral subnucleus",37–38,37–38,37,38,2,37 38,
IRt,intermediate reticular nucleus,46–62,46–62,46,62,17,46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
isRt,isthmic reticular formation,39–42,39–42,39,42,4,39 40 41 42,
IVF,interventricular foramen,25–,25,25,25,1,25,"printed with a dash and no second plate; left at plate 25, nothing being printed past it; the Index of structures leaves the range open as ""25-"""
KF,Kölliker–Fuse nucleus,43–44,43–44,43,44,2,43 44,
LA,lateroanterior hypothalamic nucleus,25–26,25–26,25,26,2,25 26,
La,lateral amygdaloid nucleus,26–31,26–31,26,31,6,26 27 28 29 30 31,
LAcbSh,lateral accumbens shell,19–21,19–21,19,21,3,19 20 21,
LaD,"lateral amygdaloid nucleus, dorsal part",27–30,27–30,27,30,4,27 28 29 30,
Lat,lateral (dentate) cerebellar nucleus,46–49,46–49,46,49,4,46 47 48 49,
LatPC,"lateral cerebellar nucleus, parvicellular part",46–48,46–48,46,48,3,46 47 48,
LaV,"lateral amygdaloid nucleus, ventral part",27–30,27–30,27,30,4,27 28 29 30,
LC,locus coeruleus,44–45,44–45,44,45,2,44 45,
Ld,lambdoid septal zone,19–21,19–21,19,21,3,19 20 21,
LDDM,"laterodorsal thalamic nucleus, dorsomedial part",27–28,27–28,27,28,2,27 28,
LDTg,laterodorsal tegmental nucleus,42–44,42–44,42,44,3,42 43 44,
LDTgV,"laterodorsal tegmental nucleus, ventral part",43,43,43,43,1,43,
LDVL,"laterodorsal thalamic nucleus, ventrolateral part",27–29,27–29,27,29,3,27 28 29,
LEnt,lateral entorhinal cortex,29–41,29–41,29,41,13,29 30 31 32 33 34 35 36 37 38 39 40 41,
lfp,longitudinal fasciculus of the pons,40–43,40–43,40,43,4,40 41 42 43,
LHb,lateral habenular nucleus,28–31,28–31,28,31,4,28 29 30 31,
LHbL,"lateral habenular nucleus, lateral part",29–30,29–30,29,30,2,29 30,
LHbM,"lateral habenular nucleus, medial part",29–30,29–30,29,30,2,29 30,
Li,linear nucleus of the medulla,51–53,51–53,51,53,3,51 52 53,
ll,lateral lemniscus,39–43,39–43,39,43,5,39 40 41 42 43,
LM,lateral mammillary nucleus,33–35,33–35,33,35,3,33 34 35,
LMol,lacunosum moleculare layer of the hippocampus,29–36,29–36,29,36,8,29 30 31 32 33 34 35 36,
LNTB,lateral nucleus of the trapezoid body,44–47,44–47,44,47,4,44 45 46 47,
LO,lateral orbital cortex,8–16,8–16,8,16,9,8 9 10 11 12 13 14 15 16,
lo,lateral olfactory tract,5–25,5–25,5,25,21,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,
LOT,nucleus of the lateral olfactory tract,25–26,25–26,25,26,2,25 26,
LPAG,lateral periaqueductal gray,35–42,35–42,35,42,8,35 36 37 38 39 40 41 42,
LPB,lateral parabrachial nucleus,45,45,45,45,1,45,
LPBC,"lateral parabrachial nucleus, central part",43–44,43–44,43,44,2,43 44,
LPBCr,"lateral parabrachial nucleus, crescent part",44,44,44,44,1,44,
LPBI,"lateral parabrachial nucleus, internal part",43–45,43–45,43,45,3,43 44 45,
LPGi,lateral paragigantocellular nucleus,51–53,51–53,51,53,3,51 52 53,
LPGiA,"lateral paragigantocellular nucleus, alpha part",48–50,48–50,48,50,3,48 49 50,
LPGiE,"lateral paragigantocellular nucleus, external part",48–50,48–50,48,50,3,48 49 50,
LPLC,"lateral posterior thalamic nucleus, laterocaudal part",32–33,32–33,32,33,2,32 33,
LPLR,"lateral posterior thalamic nucleus, laterorostral part",29–31,29–31,29,31,3,29 30 31,
LPMC,"lateral posterior thalamic nucleus, mediocaudal part",32–34,32–34,32,34,3,32 33 34,
LPMR,"lateral posterior thalamic nucleus, mediorostral part",29–32,29–32,29,32,4,29 30 31 32,
LPO,lateral preoptic area,22–25,22–25,22,25,4,22 23 24 25,
LPtA,lateral parietal association cortex,28–30,28–30,28,30,3,28 29 30,
LR4V,lateral recess of the 4th ventricle,45–51,45–51,45,51,7,45 46 47 48 49 50 51,
LRt,lateral reticular nucleus,54–59,54–59,54,59,6,54 55 56 57 58 59,
LRtPC,"lateral reticular nucleus, parvicellular part",56–58,56–58,56,58,3,56 57 58,
LRtS5,"lateral reticular nucleus, subtrigeminal part",55–56,55–56,55,56,2,55 56,
LSD,"lateral septal nucleus, dorsal part",19–25,19–25,19,25,7,19 20 21 22 23 24 25,
LSI,"lateral septal nucleus, intermediate part",18–23,18–23,18,23,6,18 19 20 21 22 23,
LSO,lateral superior olive,45–47,45–47,45,47,3,45 46 47,
LSS,lateral stripe of the striatum,21–23,21–23,21,23,3,21 22 23,
LSV,"lateral septal nucleus, ventral part",19–23,19–23,19,23,5,19 20 21 22 23,
LT,lateral terminal nucleus of the accessory optic tract,33,33,33,33,1,33,
LTer,lemina terminalis,24,24,24,24,1,24,
Lth,lithoid nucleus,33,33,33,33,1,33,
LV,lateral ventricle,17–32,17–32,17,32,16,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32,
LVe,lateral vestibular nucleus,47–49,47–49,47,49,3,47 48 49,
LVPO,lateroventral periolivary nucleus,44–47,44–47,44,47,4,44 45 46 47,
M1,primary motor cortex,11–28,11–28,11,28,18,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,
M2,secondary motor cortex,10–28,10–28,10,28,19,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,
m5,motor root of the trigeminal nerve,43–45,43–45,43,45,3,43 44 45,
MA3,medial accessory oculomotor nucleus,34–35,34–35,34,35,2,34 35,
mcer,middle cerebral artery,23,23,23,23,1,23,
mch,medial corticohypothalamic tract,25,25,25,25,1,25,
MCLH,magnocellular nucleus of the lateral hypothalamus,29,29,29,29,1,29,
mcp,middle cerebellar peduncle,40–46,40–46,40,46,7,40 41 42 43 44 45 46,
MCPC,magnocellular nucleus of the posterior commissure,33–34,33–34,33,34,2,33 34,
MCPO,magnocellular preoptic nucleus,23–25,23–25,23,25,3,23 24 25,
MD,mediodorsal thalamic nucleus,27,27,27,27,1,27,
MDC,"mediodorsal thalamic nucleus, central part",28–30,28–30,28,30,3,28 29 30,
MdD,"medullary reticular nucleus, dorsal part",55–62,55–62,55,62,8,55 56 57 58 59 60 61 62,
MDL,"mediodorsal thalamic nucleus, lateral part",28–30,28–30,28,30,3,28 29 30,
MDM,"mediodorsal thalamic nucleus, medial part",28–30,28–30,28,30,3,28 29 30,
MdV,"medullary reticular nucleus, ventral part",55–62,55–62,55,62,8,55 56 57 58 59 60 61 62,
ME,median eminence,30–32,30–32,30,32,3,30 31 32,
Me5,mesencephalic trigeminal nucleus,38–45,38–45,38,45,8,38 39 40 41 42 43 44 45,
me5,mesencephalic trigeminal tract,43–45,43–45,43,45,3,43 44 45,
MeAD,"medial amygdaloid nucleus, anterodorsal part",26–27,26–27,26,27,2,26 27,
MeAV,"medial amygdaloid nucleus, anteroventral part",27,27,27,27,1,27,
Med,medial (fastigial) cerebellar nucleus,47–50,47–50,47,50,4,47 48 49 50,
MedDL,"medial cerebellar nucleus, dorsolateral protuberance",49–50,49–50,49,50,2,49 50,
MedL,"medial cerebellar nucleus, lateral part",49–50,49–50,49,50,2,49 50,
MEnt,medial entorhinal cortex,34–41,34–41,34,41,8,34 35 36 37 38 39 40 41,
MePD,"medial amygdaloid nucleus, posterodorsal part",27–29,27–29,27,29,3,27 28 29,
MePV,"medial amygdaloid nucleus, posteroventral part",28–29,28–29,28,29,2,28 29,
mfb,medial forebrain bundle,19–32,19–32,19,32,14,19 20 21 22 23 24 25 26 27 28 29 30 31 32,
MGD,"medial geniculate nucleus, dorsal part",33–36,33–36,33,36,4,33 34 35 36,
